shipment_id,order_id,order_date,customer_name,customer_type,country,region_name,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,delivery_performance,days_vs_expected,order_value
"700","746","2026-02-24","BlueHorizon Airlines","Airline","United States","North America","2026-03-02","2026-03-07","2026-03-05","Delivered","On-Time / Early","-2","387374.00"
"705","751","2025-04-06","BlueHorizon Airlines","Airline","United States","North America","2025-04-08","2025-04-14","2025-04-13","Delivered","On-Time / Early","-1","473195.28"
"720","766","2025-06-28","BlueHorizon Airlines","Airline","United States","North America","2025-07-07","2025-07-12","2025-07-12","Delivered","On-Time / Early","0","96614.82"
"726","772","2025-03-18","BlueHorizon Airlines","Airline","United States","North America","2025-03-20","2025-03-27","2025-03-25","Delivered","On-Time / Early","-2","390816.96"
"739","785","2025-08-13","BlueHorizon Airlines","Airline","United States","North America","2025-08-20","2025-08-25","2025-08-25","Delivered","On-Time / Early","0","172994.18"
"744","791","2026-08-29","BlueHorizon Airlines","Airline","United States","North America","2026-09-05","2026-09-09","2026-09-08","Delivered","On-Time / Early","-1","314487.72"
"756","806","2026-08-05","BlueHorizon Airlines","Airline","United States","North America","2026-08-10","2026-08-17","2026-08-17","Delivered","On-Time / Early","0","134192.12"
"814","869","2026-01-31","BlueHorizon Airlines","Airline","United States","North America","2026-02-09","2026-02-16","2026-02-16","Delivered","On-Time / Early","0","452156.88"
"862","919","2025-01-21","BlueHorizon Airlines","Airline","United States","North America","2025-01-26","2025-02-02","2025-02-06","Delivered","Late","4","146983.56"
"897","958","2026-11-01","BlueHorizon Airlines","Airline","United States","North America","2026-11-07","2026-11-14","2026-11-13","Delivered","On-Time / Early","-1","86002.08"
"927","991","2026-07-09","BlueHorizon Airlines","Airline","United States","North America","2026-07-15","2026-07-18","2026-07-18","Delivered","On-Time / Early","0","285744.13"
"957","1024","2025-12-06","BlueHorizon Airlines","Airline","United States","North America","2025-12-11","2025-12-17","2025-12-17","Delivered","On-Time / Early","0","212008.43"
"960","1027","2025-11-20","BlueHorizon Airlines","Airline","United States","North America","2025-11-28","2025-12-02","2025-11-30","Delivered","On-Time / Early","-2","175005.64"
"962","1029","2026-08-23","BlueHorizon Airlines","Airline","United States","North America","2026-08-28","2026-09-02","2026-09-03","Delivered","Late","1","334950.90"
"965","1032","2026-11-08","BlueHorizon Airlines","Airline","United States","North America","2026-11-10","2026-11-15","2026-11-14","Delivered","On-Time / Early","-1","84872.07"
"1010","1080","2026-02-25","BlueHorizon Airlines","Airline","United States","North America","2026-03-01","2026-03-05","2026-03-04","Delivered","On-Time / Early","-1","299808.40"
"1050","1120","2026-11-22","BlueHorizon Airlines","Airline","United States","North America","2026-11-30","2026-12-05","2026-12-03","Delivered","On-Time / Early","-2","240815.09"
"1053","1123","2026-06-15","BlueHorizon Airlines","Airline","United States","North America","2026-06-23","2026-06-26","2026-06-24","Delivered","On-Time / Early","-2","321987.49"
"1076","1147","2026-07-08","BlueHorizon Airlines","Airline","United States","North America","2026-07-13","2026-07-19","2026-07-17","Delivered","On-Time / Early","-2","766204.08"
"1088","1161","2026-08-05","BlueHorizon Airlines","Airline","United States","North America","2026-08-10","2026-08-13","2026-08-12","Delivered","On-Time / Early","-1","202933.56"
"1110","1184","2025-06-24","BlueHorizon Airlines","Airline","United States","North America","2025-07-03","2025-07-09","2025-07-09","Delivered","On-Time / Early","0","329745.15"
"1129","1204","2026-07-02","BlueHorizon Airlines","Airline","United States","North America","2026-07-12","2026-07-18","2026-07-16","Delivered","On-Time / Early","-2","74738.96"
"1131","1206","2025-06-04","BlueHorizon Airlines","Airline","United States","North America","2025-06-10","2025-06-13","2025-06-12","Delivered","On-Time / Early","-1","285700.67"
"1187","1263","2025-11-19","BlueHorizon Airlines","Airline","United States","North America","2025-11-21","2025-11-24","2025-11-23","Delivered","On-Time / Early","-1","128729.76"
"1194","1270","2025-11-04","BlueHorizon Airlines","Airline","United States","North America","2025-11-09","2025-11-12","2025-11-12","Delivered","On-Time / Early","0","574607.05"
"1220","1296","2026-11-16","BlueHorizon Airlines","Airline","United States","North America","2026-11-19","2026-11-25",\N,"In Transit","Not Delivered",\N,"48734.35"
"1221","1297","2026-06-24","BlueHorizon Airlines","Airline","United States","North America","2026-06-28","2026-07-05","2026-07-03","Delivered","On-Time / Early","-2","475517.58"
"1230","1306","2025-06-10","BlueHorizon Airlines","Airline","United States","North America","2025-06-14","2025-06-19","2025-06-17","Delivered","On-Time / Early","-2","312539.43"
"1270","1347","2026-01-25","BlueHorizon Airlines","Airline","United States","North America","2026-01-28","2026-01-31","2026-01-29","Delivered","On-Time / Early","-2","109475.40"
"1389","1473","2025-09-21","BlueHorizon Airlines","Airline","United States","North America","2025-09-23","2025-09-29","2025-09-27","Delivered","On-Time / Early","-2","172781.30"
"1422","1507","2025-04-16","BlueHorizon Airlines","Airline","United States","North America","2025-04-24","2025-04-29","2025-04-29","Delivered","On-Time / Early","0","194728.80"
"1437","1522","2025-07-17","BlueHorizon Airlines","Airline","United States","North America","2025-07-25","2025-07-29","2025-07-27","Delivered","On-Time / Early","-2","224482.05"
"1439","1525","2025-01-17","BlueHorizon Airlines","Airline","United States","North America","2025-01-19","2025-01-22","2025-01-22","Delivered","On-Time / Early","0","266505.42"
"1444","1530","2026-09-26","BlueHorizon Airlines","Airline","United States","North America","2026-09-28","2026-10-01","2026-09-29","Delivered","On-Time / Early","-2","712733.71"
"1454","1540","2026-08-19","BlueHorizon Airlines","Airline","United States","North America","2026-08-21","2026-08-27","2026-08-26","Delivered","On-Time / Early","-1","250281.20"
"1469","1556","2026-04-10","BlueHorizon Airlines","Airline","United States","North America","2026-04-12","2026-04-18","2026-04-18","Delivered","On-Time / Early","0","344114.70"
"1487","1575","2025-02-15","BlueHorizon Airlines","Airline","United States","North America","2025-02-24","2025-02-28","2025-02-26","Delivered","On-Time / Early","-2","242177.26"
"1488","1576","2026-06-01","BlueHorizon Airlines","Airline","United States","North America","2026-06-09","2026-06-16","2026-06-15","Delivered","On-Time / Early","-1","535769.58"
"1517","1606","2025-03-06","BlueHorizon Airlines","Airline","United States","North America","2025-03-10","2025-03-15","2025-03-13","Delivered","On-Time / Early","-2","330314.14"
"1526","1616","2025-04-30","BlueHorizon Airlines","Airline","United States","North America","2025-05-06","2025-05-13","2025-05-13","Delivered","On-Time / Early","0","187738.98"
"9","10","2025-03-22","MapleWing Aviation","Airline","Canada","North America","2025-03-24","2025-03-28","2025-03-28","Delivered","On-Time / Early","0","222036.33"
"17","18","2025-08-23","MapleWing Aviation","Airline","Canada","North America","2025-09-02","2025-09-05","2025-09-05","Delivered","On-Time / Early","0","288250.04"
"31","34","2026-07-10","MapleWing Aviation","Airline","Canada","North America","2026-07-17","2026-07-20","2026-07-18","Delivered","On-Time / Early","-2","286016.51"
"33","36","2026-06-05","MapleWing Aviation","Airline","Canada","North America","2026-06-14","2026-06-19","2026-06-18","Delivered","On-Time / Early","-1","110698.26"
"94","100","2025-08-08","MapleWing Aviation","Airline","Canada","North America","2025-08-17","2025-08-22","2025-08-20","Delivered","On-Time / Early","-2","590353.10"
"116","122","2025-07-23","MapleWing Aviation","Airline","Canada","North America","2025-07-26","2025-07-29","2025-07-29","Delivered","On-Time / Early","0","217354.69"
"148","156","2025-11-08","MapleWing Aviation","Airline","Canada","North America","2025-11-12","2025-11-17","2025-11-16","Delivered","On-Time / Early","-1","444547.56"
"160","168","2025-05-26","MapleWing Aviation","Airline","Canada","North America","2025-06-01","2025-06-06","2025-06-04","Delivered","On-Time / Early","-2","326194.45"
"165","173","2025-01-27","MapleWing Aviation","Airline","Canada","North America","2025-02-04","2025-02-08","2025-02-07","Delivered","On-Time / Early","-1","229228.18"
"240","256","2025-07-30","MapleWing Aviation","Airline","Canada","North America","2025-08-04","2025-08-11","2025-08-11","Delivered","On-Time / Early","0","164414.04"
"251","267","2025-02-01","MapleWing Aviation","Airline","Canada","North America","2025-02-03","2025-02-09","2025-02-08","Delivered","On-Time / Early","-1","499586.36"
"253","269","2026-03-31","MapleWing Aviation","Airline","Canada","North America","2026-04-06","2026-04-13","2026-04-11","Delivered","On-Time / Early","-2","169717.34"
"254","270","2025-06-01","MapleWing Aviation","Airline","Canada","North America","2025-06-08","2025-06-15","2025-06-16","Delivered","Late","1","252492.49"
"274","290","2026-02-15","MapleWing Aviation","Airline","Canada","North America","2026-02-24","2026-03-01","2026-02-27","Delivered","On-Time / Early","-2","259211.84"
"275","291","2025-02-01","MapleWing Aviation","Airline","Canada","North America","2025-02-09","2025-02-15","2025-02-13","Delivered","On-Time / Early","-2","505024.65"
"305","322","2025-02-08","MapleWing Aviation","Airline","Canada","North America","2025-02-17","2025-02-22","2025-02-22","Delivered","On-Time / Early","0","399284.69"
"352","371","2026-01-05","MapleWing Aviation","Airline","Canada","North America","2026-01-12","2026-01-17","2026-01-16","Delivered","On-Time / Early","-1","97138.16"
"359","378","2025-05-19","MapleWing Aviation","Airline","Canada","North America","2025-05-24","2025-05-27","2025-05-27","Delivered","On-Time / Early","0","238709.36"
"372","392","2025-02-28","MapleWing Aviation","Airline","Canada","North America","2025-03-02","2025-03-06","2025-03-04","Delivered","On-Time / Early","-2","99255.68"
"385","406","2026-12-28","MapleWing Aviation","Airline","Canada","North America","2027-01-03","2027-01-06","2027-01-05","Delivered","On-Time / Early","-1","107208.71"
"400","424","2025-01-30","MapleWing Aviation","Airline","Canada","North America","2025-02-02","2025-02-07","2025-02-05","Delivered","On-Time / Early","-2","37200.47"
"451","477","2025-09-06","MapleWing Aviation","Airline","Canada","North America","2025-09-10","2025-09-14","2025-09-12","Delivered","On-Time / Early","-2","360676.84"
"452","478","2025-08-27","MapleWing Aviation","Airline","Canada","North America","2025-09-05","2025-09-10","2025-09-10","Delivered","On-Time / Early","0","69146.51"
"480","508","2025-04-25","MapleWing Aviation","Airline","Canada","North America","2025-05-01","2025-05-04","2025-05-03","Delivered","On-Time / Early","-1","138471.42"
"487","515","2026-08-16","MapleWing Aviation","Airline","Canada","North America","2026-08-21","2026-08-24","2026-08-23","Delivered","On-Time / Early","-1","145051.11"
"511","543","2026-10-25","MapleWing Aviation","Airline","Canada","North America","2026-11-01","2026-11-04","2026-11-04","Delivered","On-Time / Early","0","204184.44"
"533","565","2026-01-18","MapleWing Aviation","Airline","Canada","North America","2026-01-28","2026-02-03","2026-02-05","Delivered","Late","2","519049.33"
"540","572","2026-02-11","MapleWing Aviation","Airline","Canada","North America","2026-02-21","2026-02-25","2026-02-23","Delivered","On-Time / Early","-2","493225.78"
"559","592","2026-01-25","MapleWing Aviation","Airline","Canada","North America","2026-01-31","2026-02-07","2026-02-07","Delivered","On-Time / Early","0","321138.30"
"652","694","2026-05-04","MapleWing Aviation","Airline","Canada","North America","2026-05-06","2026-05-09","2026-05-08","Delivered","On-Time / Early","-1","361328.03"
"655","697","2026-05-05","MapleWing Aviation","Airline","Canada","North America","2026-05-11","2026-05-17","2026-05-17","Delivered","On-Time / Early","0","243138.68"
"673","718","2026-02-16","MapleWing Aviation","Airline","Canada","North America","2026-02-26","2026-03-03","2026-03-03","Delivered","On-Time / Early","0","473728.35"
"679","724","2026-09-16","MapleWing Aviation","Airline","Canada","North America","2026-09-19","2026-09-24","2026-09-24","Delivered","On-Time / Early","0","115442.79"
"694","740","2026-02-15","MapleWing Aviation","Airline","Canada","North America","2026-02-23","2026-02-28","2026-02-26","Delivered","On-Time / Early","-2","179126.80"
"708","754","2026-02-08","MapleWing Aviation","Airline","Canada","North America","2026-02-12","2026-02-19","2026-02-18","Delivered","On-Time / Early","-1","148177.38"
"747","794","2025-04-03","MapleWing Aviation","Airline","Canada","North America","2025-04-09","2025-04-12","2025-04-11","Delivered","On-Time / Early","-1","515877.24"
"750","797","2025-11-28","MapleWing Aviation","Airline","Canada","North America","2025-12-01","2025-12-04","2025-12-03","Delivered","On-Time / Early","-1","248003.59"
"790","844","2025-03-10","MapleWing Aviation","Airline","Canada","North America","2025-03-17","2025-03-23","2025-03-23","Delivered","On-Time / Early","0","275998.54"
"806","861","2025-06-12","MapleWing Aviation","Airline","Canada","North America","2025-06-22","2025-06-25","2025-06-25","Delivered","On-Time / Early","0","167743.20"
"825","880","2026-05-09","MapleWing Aviation","Airline","Canada","North America","2026-05-14","2026-05-21","2026-05-20","Delivered","On-Time / Early","-1","18043.19"
"841","897","2026-02-28","MapleWing Aviation","Airline","Canada","North America","2026-03-02","2026-03-08","2026-03-11","Delivered","Late","3","37350.28"
"874","931","2026-06-08","MapleWing Aviation","Airline","Canada","North America","2026-06-15","2026-06-20","2026-06-18","Delivered","On-Time / Early","-2","431783.77"
"893","953","2025-06-19","MapleWing Aviation","Airline","Canada","North America","2025-06-21","2025-06-28","2025-06-26","Delivered","On-Time / Early","-2","564539.84"
"924","988","2026-11-18","MapleWing Aviation","Airline","Canada","North America","2026-11-28","2026-12-05","2026-12-03","Delivered","On-Time / Early","-2","124809.24"
"932","996","2026-07-20","MapleWing Aviation","Airline","Canada","North America","2026-07-26","2026-07-31","2026-07-31","Delivered","On-Time / Early","0","335877.92"
"953","1020","2026-10-04","MapleWing Aviation","Airline","Canada","North America","2026-10-08","2026-10-14","2026-10-12","Delivered","On-Time / Early","-2","592733.21"
"1051","1121","2025-06-11","MapleWing Aviation","Airline","Canada","North America","2025-06-13","2025-06-20","2025-06-18","Delivered","On-Time / Early","-2","720238.38"
"1061","1132","2025-09-22","MapleWing Aviation","Airline","Canada","North America","2025-09-26","2025-10-01","2025-09-29","Delivered","On-Time / Early","-2","426313.50"
"1065","1136","2025-12-17","MapleWing Aviation","Airline","Canada","North America","2025-12-21","2025-12-24","2025-12-22","Delivered","On-Time / Early","-2","146206.04"
"1075","1146","2025-05-12","MapleWing Aviation","Airline","Canada","North America","2025-05-14","2025-05-21","2025-05-19","Delivered","On-Time / Early","-2","430181.71"
"1133","1209","2025-05-30","MapleWing Aviation","Airline","Canada","North America","2025-06-08","2025-06-13","2025-06-11","Delivered","On-Time / Early","-2","94516.25"
"1147","1223","2026-10-03","MapleWing Aviation","Airline","Canada","North America","2026-10-11","2026-10-16","2026-10-16","Delivered","On-Time / Early","0","167760.80"
"1169","1245","2026-10-17","MapleWing Aviation","Airline","Canada","North America","2026-10-26","2026-10-30","2026-10-28","Delivered","On-Time / Early","-2","42846.51"
"1204","1280","2025-09-26","MapleWing Aviation","Airline","Canada","North America","2025-10-04","2025-10-08","2025-10-06","Delivered","On-Time / Early","-2","76614.64"
"1268","1345","2026-01-07","MapleWing Aviation","Airline","Canada","North America","2026-01-15","2026-01-19","2026-01-18","Delivered","On-Time / Early","-1","646143.99"
"1280","1358","2025-06-01","MapleWing Aviation","Airline","Canada","North America","2025-06-03","2025-06-10","2025-06-08","Delivered","On-Time / Early","-2","151624.20"
"1306","1387","2025-12-29","MapleWing Aviation","Airline","Canada","North America","2026-01-05","2026-01-11","2026-01-11","Delivered","On-Time / Early","0","499721.04"
"1340","1422","2025-01-31","MapleWing Aviation","Airline","Canada","North America","2025-02-10","2025-02-13","2025-02-12","Delivered","On-Time / Early","-1","57415.12"
"1345","1428","2026-01-29","MapleWing Aviation","Airline","Canada","North America","2026-02-05","2026-02-08","2026-02-07","Delivered","On-Time / Early","-1","476172.90"
"1348","1431","2026-11-17","MapleWing Aviation","Airline","Canada","North America","2026-11-19","2026-11-25","2026-11-24","Delivered","On-Time / Early","-1","358457.93"
"1351","1434","2026-02-20","MapleWing Aviation","Airline","Canada","North America","2026-02-22","2026-02-25","2026-02-23","Delivered","On-Time / Early","-2","316615.07"
"1367","1451","2025-01-12","MapleWing Aviation","Airline","Canada","North America","2025-01-19","2025-01-23","2025-01-21","Delivered","On-Time / Early","-2","47171.76"
"1396","1480","2025-12-20","MapleWing Aviation","Airline","Canada","North America","2025-12-27","2025-12-30","2025-12-30","Delivered","On-Time / Early","0","75344.86"
"1397","1481","2025-04-29","MapleWing Aviation","Airline","Canada","North America","2025-05-04","2025-05-08","2025-05-07","Delivered","On-Time / Early","-1","574334.54"
"1410","1494","2025-04-05","MapleWing Aviation","Airline","Canada","North America","2025-04-12","2025-04-16","2025-04-16","Delivered","On-Time / Early","0","879444.23"
"1412","1496","2025-05-03","MapleWing Aviation","Airline","Canada","North America","2025-05-11","2025-05-16","2025-05-14","Delivered","On-Time / Early","-2","437421.70"
"1432","1517","2025-12-15","MapleWing Aviation","Airline","Canada","North America","2025-12-22","2025-12-26","2025-12-26","Delivered","On-Time / Early","0","531691.20"
"1438","1523","2026-02-03","MapleWing Aviation","Airline","Canada","North America","2026-02-05","2026-02-11","2026-02-09","Delivered","On-Time / Early","-2","456637.89"
"1456","1542","2026-05-14","MapleWing Aviation","Airline","Canada","North America","2026-05-17","2026-05-22","2026-05-21","Delivered","On-Time / Early","-1","446563.52"
"1467","1554","2025-02-14","MapleWing Aviation","Airline","Canada","North America","2025-02-16","2025-02-21","2025-02-26","Delivered","Late","5","488263.34"
"1471","1558","2025-04-29","MapleWing Aviation","Airline","Canada","North America","2025-05-06","2025-05-09","2025-05-08","Delivered","On-Time / Early","-1","482943.90"
"49","52","2025-02-22","Pacific Crest Airways","Airline","United States","North America","2025-02-28","2025-03-07","2025-03-05","Delivered","On-Time / Early","-2","186820.06"
"193","205","2026-03-27","Pacific Crest Airways","Airline","United States","North America","2026-04-06","2026-04-09","2026-04-07","Delivered","On-Time / Early","-2","62790.17"
"235","251","2026-01-07","Pacific Crest Airways","Airline","United States","North America","2026-01-11","2026-01-18","2026-01-17","Delivered","On-Time / Early","-1","366535.19"
"257","273","2026-03-17","Pacific Crest Airways","Airline","United States","North America","2026-03-24","2026-03-28","2026-03-27","Delivered","On-Time / Early","-1","273617.50"
"262","278","2025-03-29","Pacific Crest Airways","Airline","United States","North America","2025-04-01","2025-04-08","2025-04-06","Delivered","On-Time / Early","-2","234445.14"
"298","315","2025-08-30","Pacific Crest Airways","Airline","United States","North America","2025-09-01","2025-09-06","2025-09-04","Delivered","On-Time / Early","-2","39130.51"
"338","356","2026-03-24","Pacific Crest Airways","Airline","United States","North America","2026-03-30","2026-04-05","2026-04-03","Delivered","On-Time / Early","-2","355701.94"
"368","388","2025-11-25","Pacific Crest Airways","Airline","United States","North America","2025-12-01","2025-12-07","2025-12-06","Delivered","On-Time / Early","-1","345683.46"
"453","479","2026-04-29","Pacific Crest Airways","Airline","United States","North America","2026-05-06","2026-05-10","2026-05-10","Delivered","On-Time / Early","0","580901.39"
"483","511","2026-05-16","Pacific Crest Airways","Airline","United States","North America","2026-05-18","2026-05-25","2026-05-24","Delivered","On-Time / Early","-1","428018.14"
"566","599","2026-07-22","Pacific Crest Airways","Airline","United States","North America","2026-08-01","2026-08-05","2026-08-05","Delivered","On-Time / Early","0","444739.69"
"648","690","2025-10-08","Pacific Crest Airways","Airline","United States","North America","2025-10-11","2025-10-14","2025-10-14","Delivered","On-Time / Early","0","29825.11"
"801","856","2026-12-03","Pacific Crest Airways","Airline","United States","North America","2026-12-08","2026-12-11","2026-12-09","Delivered","On-Time / Early","-2","74904.40"
"903","964","2025-04-27","Pacific Crest Airways","Airline","United States","North America","2025-05-01","2025-05-04","2025-05-03","Delivered","On-Time / Early","-1","126847.17"
"906","968","2026-02-24","Pacific Crest Airways","Airline","United States","North America","2026-03-04","2026-03-10","2026-03-08","Delivered","On-Time / Early","-2","97458.80"
"998","1068","2025-11-28","Pacific Crest Airways","Airline","United States","North America","2025-12-07","2025-12-12","2025-12-10","Delivered","On-Time / Early","-2","351094.62"
"1090","1163","2026-10-07","Pacific Crest Airways","Airline","United States","North America","2026-10-15","2026-10-19","2026-10-19","Delivered","On-Time / Early","0","591214.64"
"1105","1179","2025-04-16","Pacific Crest Airways","Airline","United States","North America","2025-04-22","2025-04-25","2025-04-25","Delivered","On-Time / Early","0","265179.96"
"1146","1222","2026-05-27","Pacific Crest Airways","Airline","United States","North America","2026-06-05","2026-06-10","2026-06-09","Delivered","On-Time / Early","-1","56033.88"
"1267","1344","2025-05-07","Pacific Crest Airways","Airline","United States","North America","2025-05-14","2025-05-17","2025-05-15","Delivered","On-Time / Early","-2","275888.60"
"1320","1401","2025-02-17","Pacific Crest Airways","Airline","United States","North America","2025-02-21","2025-02-24","2025-02-22","Delivered","On-Time / Early","-2","24325.86"
"1330","1411","2025-02-21","Pacific Crest Airways","Airline","United States","North America","2025-02-24","2025-02-27","2025-02-28","Delivered","Late","1","118837.20"
"1350","1433","2026-07-23","Pacific Crest Airways","Airline","United States","North America","2026-07-29","2026-08-02","2026-08-02","Delivered","On-Time / Early","0","55839.81"
"1511","1600","2026-04-14","Pacific Crest Airways","Airline","United States","North America","2026-04-19","2026-04-26","2026-04-25","Delivered","On-Time / Early","-1","266864.32"
"3","3","2025-12-15","Atlantic Sky Airlines","Airline","United States","North America","2025-12-22","2025-12-25","2025-12-25","Delivered","On-Time / Early","0","421440.38"
"38","41","2026-02-10","Atlantic Sky Airlines","Airline","United States","North America","2026-02-15","2026-02-18","2026-02-16","Delivered","On-Time / Early","-2","303946.32"
"65","70","2025-01-29","Atlantic Sky Airlines","Airline","United States","North America","2025-02-04","2025-02-08","2025-02-08","Delivered","On-Time / Early","0","230753.42"
"73","78","2026-07-22","Atlantic Sky Airlines","Airline","United States","North America","2026-07-29","2026-08-01","2026-07-30","Delivered","On-Time / Early","-2","315518.20"
"104","110","2026-03-15","Atlantic Sky Airlines","Airline","United States","North America","2026-03-25","2026-03-29","2026-03-29","Delivered","On-Time / Early","0","312286.48"
"111","117","2025-09-02","Atlantic Sky Airlines","Airline","United States","North America","2025-09-10","2025-09-14","2025-09-12","Delivered","On-Time / Early","-2","119695.80"
"117","123","2025-09-06","Atlantic Sky Airlines","Airline","United States","North America","2025-09-09","2025-09-13","2025-09-12","Delivered","On-Time / Early","-1","292158.27"
"138","144","2025-08-25","Atlantic Sky Airlines","Airline","United States","North America","2025-09-04","2025-09-07","2025-09-06","Delivered","On-Time / Early","-1","295516.03"
